rank,country_noc,gold,silver,bronze,total
145,PAR,0.0,1.0,0.0,1.0
146,GAB,0.0,1.0,0.0,1.0
147,CYP,0.0,1.0,0.0,1.0
148,SAM,0.0,1.0,0.0,1.0
149,ERI,0.0,0.0,1.0,1.0
150,AHO,0.0,1.0,0.0,1.0
151,SUD,0.0,1.0,0.0,1.0
152,DJI,0.0,0.0,1.0,1.0
153,TGA,0.0,1.0,0.0,1.0
154,EOR,0.0,0.0,0.0,0.0
155,DMA,0.0,0.0,0.0,0.0
156,ALB,0.0,0.0,0.0,0.0
157,LCA,0.0,0.0,0.0,0.0
158,AIN,0.0,0.0,0.0,0.0
159,CPV,0.0,0.0,0.0,0.0
